field,source_system,mimic_code,mimic_display,expected_code,expected_system,reason,comment
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,228631,Date signed,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Date signed' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229886,Pressure Ulcer #3- Date Indentified,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226719,Last menses,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Last menses' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,228215,Tandem Heart Access Line Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Tandem Heart Access Line Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226132,ICP Line Tubing Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 21151009 |Intracranial pressure monitor maintenance| at 0.70 for 'ICP Line Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225352,PA Catheter Change over Wire Date,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 416504003 |Vascular line exchange over wire| at 0.75 for 'PA Catheter Change over Wire Date', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225319,Dialysis Catheter Change over Wire Date,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 416504003 |Vascular line exchange over wire| at 0.72 for 'Dialysis Catheter Change over Wire Date', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225222,CCO PAC Change over Wire Date,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 416504003 |Vascular line exchange over wire| at 0.75 for 'CCO PAC Change over Wire Date', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229643,Stroke NCP - Ed Given Date,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 439771001 |Date of event| at 0.75 for 'Stroke NCP - Ed Given Date', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225218,Trauma Line Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Trauma Line Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225340,IABP Tubing Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 34475007 |Intraaortic balloon pump maintenance| at 0.75 for 'IABP Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225396,Triple Introducer Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Triple Introducer Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225348,Midline Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Midline Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229892,Pressure Ulcer #9- Date Indentified,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227542,ScvO2 (Presep) Calibrated,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'ScvO2 (Presep) Calibrated' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225375,Indwelling Port (PortaCath) Cap Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Indwelling Port (PortaCath) Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225383,Presep Catheter Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 103713001 |Replacement of catheter| at 0.60 for 'Presep Catheter Cap Change', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227198,Indwelling (PortaCath) Port #1 Date De-accessed,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Indwelling (PortaCath) Port Date De-accessed' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229738,20 Gauge Cap Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for '20 Gauge Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229885,Pressure Ulcer #2- Date Indentified,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229893,Pressure Ulcer #10- Date Indentified,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225368,Pheresis Catheter Change over Wire Date,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 439272007 |Date of procedure| at 0.70 for 'Pheresis Catheter Change over Wire Date', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229555,Cardiac Assist Cannula Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Cardiac Assist Cannula Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229737,16 Gauge Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 423687009 |Peripheral intravenous catheter care| at 0.75 for '16 Gauge Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229884,Pressure Ulcer #1- Date Indentified,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227720,AVA Cap Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'AVA Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225378,Indwelling Port (PortaCath) Insertion Date,,http://snomed.info/sct,no-suitable-concept,code-search proposed 1507661000168104 |Insertion of central venous catheter with subcutaneous access port| at 0.85 but that concept is not in the SNOMED international core.
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227911,Date - Therapist,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 439771001 |Date of event| at 0.70 for 'Date - Therapist', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224282,Multi Lumen Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Multi Lumen Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225351,PA Catheter Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 422463007 |Pulmonary artery catheter care| at 0.70 for 'PA Catheter Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229729,18 Gauge Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 225199003 |Changing intravenous infusion line| at 0.60 for '18 Gauge Cap Change', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227729,AVA Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'AVA Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229883,Pressure ulcer #1- Date Indentified_OLD_1,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 439771001 |Date of event| at 0.70 for 'Pressure ulcer- Date Indentified_OLD_1', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229889,Pressure Ulcer #6- Date Indentified,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227817,Referral Date,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 3457005 |Patient referral| at 0.70 for 'Referral Date', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225327,Tunneled (Hickman) Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 449584006 |Care of tunneled central venous catheter| at 0.70 for 'Tunneled (Hickman) Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,228209,Tandem Heart Access Line Insertion Date,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 439272007 |Date of procedure| at 0.75 for 'Tandem Heart Access Line Insertion Date', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224261,Multi Lumen Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 226005007 |Care of central line| at 0.70 for 'Multi Lumen Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229741,RIC Cap Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'RIC Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225380,Indwelling Port (PortaCath)Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Indwelling Port (PortaCath)Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225390,Presep Catheter Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Presep Catheter Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225226,CCO PAC Tubing Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 422463007 |Pulmonary artery catheter care| at 0.70 for 'CCO PAC Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225335,IABP Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 34475007 |Intraaortic balloon pump maintenance| at 0.60 for 'IABP Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224290,Arterial line Tubing Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 422744007 |Arterial catheter care| at 0.75 for 'Arterial line Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,226532,Organ Bank Notified,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Organ Bank Notified' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225391,Triple Introducer Cap Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Triple Introducer Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225324,Dialysis CatheterTubing Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 103713001 |Replacement of catheter| at 0.70 for 'Dialysis CatheterTubing Change', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,228160,Impella Aortic Pressure Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Impella Aortic Pressure Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224187,PICC Line Tubing Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 392020005 |Peripherally inserted central catheter care| at 0.75 for 'PICC Line Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229651,Stroke NCP - Water Swallow Date,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Stroke NCP - Water Swallow Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225336,IABP Change over Wire Date,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 416504003 |Vascular line exchange over wire| at 0.60 for 'IABP Change over Wire Date', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225332,Tunneled (Hickman) Tubing Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 439355003 |Replacement of tunneled centrally inserted central venous catheter| at 0.85 for 'Tunneled (Hickman) Tubing Change', but changing the tubing does not replace the catheter — replacing it is what the sibling column 225328 Tunneled (Hickman) Change over Wire Date records. The concept is right about the device and wrong about the action, so the mapping would assert something this column does not record."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225221,CCO PAC Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 422463007 |Pulmonary artery catheter care| at 0.70 for 'CCO PAC Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229736,14 Gauge Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 423687009 |Peripheral intravenous catheter care| at 0.60 for '14 Gauge Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229739,22 Gauge Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 225199003 |Changing intravenous infusion line| at 0.70 for '22 Gauge Cap Change', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225317,Trauma Line Insertion Date,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 397914003 |Uncomplicated intravascular line insertion| at 0.60 for 'Trauma Line Insertion Date', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225083,Pregnancy due date,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Pregnancy due date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225318,Dialysis Catheter Cap Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Dialysis Catheter Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225766,Sheath Insertion Date,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Sheath Insertion Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224183,PICC Line Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 392020005 |Peripherally inserted central catheter care| at 0.70 for 'PICC Line Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225367,Pheresis Catheter Cap Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Pheresis Catheter Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225769,Sheath Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Sheath Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229740,24 Gauge Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 423687009 |Peripheral intravenous catheter care| at 0.70 for '24 Gauge Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229888,Pressure Ulcer #5- Date Indentified,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227541,SvO2 Calibrated,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 250551006 |Venous oxygen saturation measurement| at 0.70 for 'SvO2 Calibrated', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,228165,Impella Daily Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Impella Daily Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225754,20 Gauge Insertion Date,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for '20 Gauge Insertion Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225343,Midline Cap Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Midline Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225372,Pheresis Catheter Tubing Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 103713001 |Replacement of catheter| at 0.75 for 'Pheresis Catheter Tubing Change', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225762,Sheath Cap Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Sheath Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225394,Triple Introducer Insertion Date,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Triple Introducer Insertion Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224292,Cordis/Introducer Cap Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Cordis/Introducer Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,228266,FM Date/Time,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 439771001 |Date of event| at 0.75 for 'FM Date/Time', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225356,PA Catheter Tubing Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 422463007 |Pulmonary artery catheter care| at 0.75 for 'PA Catheter Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,225213,Trauma Line Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 225199003 |Changing intravenous infusion line| at 0.60 for 'Trauma Line Cap Change', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229890,Pressure Ulcer #7- Date Indentified,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224298,Cordis/Introducer Tubing Change,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Cordis/Introducer Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229556,Cardiac Assist Cannula Date,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Cardiac Assist Cannula Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229887,Pressure Ulcer #4- Date Indentified,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227199,Indwelling (PortaCath) Port #2 Date De-accessed,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'Indwelling (PortaCath) Port Date De-accessed' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,228321,PC Date,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'PC Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,227907,Date - Student,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 439771001 |Date of event| at 0.75 for 'Date - Student', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224280,Multi Lumen Insertion Date,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 233527006 |Central venous cannula insertion| at 0.70 for 'Multi Lumen Insertion Date', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,224284,Arterial line Cap Change,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 422744007 |Arterial catheter care| at 0.75 for 'Arterial line Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229891,Pressure Ulcer #8- Date Indentified,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold."
Observation.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,229541,EKOS Insertion Date,,http://snomed.info/sct,no-suitable-concept,code-search returned no match for 'EKOS Insertion Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).
